,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
62,749.0,28.0,41.88528132,-87.6572332,,32.0,41.880994471,-87.632746489,0,1.9,420.0
63,952.0,7.0,41.921854911,-87.646210977,,8.0,41.90749193,-87.63576009,4,1.58,446.0
64,540.0,22.0,41.921125914,-87.699754406,,24.0,41.89967018,-87.669837798,1,0.0,660.0
65,411.0,8.0,41.909495669,-87.630963601,,6.0,41.945282331,-87.661545096,3,4.7,900.0
66,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,3,3.0,540.0
67,1046.0,33.0,41.859349715,-87.617358006,,32.0,41.880994471,-87.632746489,0,0.1,540.0
68,179.0,32.0,41.870607372,-87.622172937,,32.0,41.880994471,-87.632746489,2,0.7,420.0
69,911.0,8.0,41.890922026,-87.618868355,,8.0,41.892507781,-87.626214906,1,0.0,360.0
70,,77.0,41.9867118,-87.663416405,,28.0,41.874005383,-87.66351755,2,10.0,1320.0
71,504.0,32.0,41.884987192,-87.620992913,,8.0,41.90749193,-87.63576009,2,2.0,600.0
72,504.0,32.0,41.884987192,-87.620992913,,8.0,41.89503345,-87.619710672,3,0.8,360.0
73,380.0,8.0,41.904935302,-87.649907226,,8.0,41.891971508,-87.612945414,1,2.2,900.0
74,396.0,6.0,41.94258518,-87.656644092,,8.0,41.890922026,-87.618868355,1,4.7,780.0
75,402.0,8.0,41.90156691,-87.638404012,,8.0,41.898331794,-87.620762865,0,0.0,480.0
76,1046.0,33.0,41.859349715,-87.617358006,,8.0,41.89321636,-87.63784421,7,2.3,660.0
77,,8.0,41.899602111,-87.633308037,,77.0,41.9867118,-87.663416405,1,7.6,900.0
78,16.0,32.0,41.880994471,-87.632746489,,8.0,41.892072635,-87.628874157,6,1.0,420.0
79,,14.0,41.968069,-87.721559063,,8.0,41.899602111,-87.633308037,3,8.6,1500.0
80,380.0,8.0,41.904935302,-87.649907226,,8.0,41.892042136,-87.63186395,0,3.3,720.0
81,584.0,6.0,41.945282331,-87.661545096,,8.0,41.900221297,-87.629105186,1,4.5,1140.0
82,752.0,24.0,41.892536872,-87.659864318,,8.0,41.902788048,-87.62614559,2,2.4,900.0
83,,34.0,41.842076117,-87.633973422,,7.0,41.922686284,-87.649488729,3,7.7,1320.0
84,140.0,8.0,41.900221297,-87.629105186,,32.0,41.884987192,-87.620992913,1,1.3,480.0
85,,28.0,41.874005383,-87.66351755,,39.0,41.808916283,-87.596183344,0,0.4,1020.0
86,16.0,32.0,41.880994471,-87.632746489,,8.0,41.890922026,-87.618868355,1,0.0,420.0
87,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,0,3.1,540.0
88,140.0,8.0,41.900221297,-87.629105186,,8.0,41.892042136,-87.63186395,2,1.2,480.0
89,584.0,6.0,41.945282331,-87.661545096,,7.0,41.921778356,-87.641459759,2,0.1,540.0
90,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,3,0.2,840.0
91,534.0,8.0,41.90749193,-87.63576009,,8.0,41.89321636,-87.63784421,9,1.8,420.0
92,,8.0,41.899602111,-87.633308037,,7.0,41.922686284,-87.649488729,3,2.7,720.0
93,16.0,32.0,41.880994471,-87.632746489,,8.0,41.891971508,-87.612945414,1,0.1,900.0
94,215.0,6.0,41.949829346,-87.64396537,,8.0,41.899155613,-87.626210532,5,3.6,360.0
95,,4.0,41.975170943,-87.687515515,,8.0,41.899602111,-87.633308037,6,8.1,1260.0
