,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
143,,3.0,41.96581197,-87.655878786,,77.0,41.9867118,-87.663416405,1,0.1,360.0
144,140.0,8.0,41.900221297,-87.629105186,,8.0,41.899155613,-87.626210532,2,0.5,360.0
145,534.0,8.0,41.90749193,-87.63576009,,24.0,41.908378669,-87.670945075,0,1.7,480.0
146,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,8,1.8,540.0
147,,5.0,41.947791586,-87.683834942,,22.0,41.92276062,-87.699155343,3,2.0,420.0
148,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,5.9,1080.0
149,807.0,28.0,41.879255084,-87.642648998,,8.0,41.900265687,-87.63210922,3,1.6,480.0
150,16.0,32.0,41.880994471,-87.632746489,,8.0,41.892042136,-87.63186395,3,1.09,360.0
151,886.0,6.0,41.942577185,-87.647078509,,32.0,41.880994471,-87.632746489,6,5.8,840.0
152,40.0,28.0,41.885300022,-87.642808466,,8.0,41.892072635,-87.628874157,0,1.3,360.0
153,959.0,8.0,41.89503345,-87.619710672,,8.0,41.899155613,-87.626210532,0,0.8,360.0
154,334.0,8.0,41.899155613,-87.626210532,,24.0,41.892658108,-87.652534484,2,1.5,540.0
155,,22.0,41.92276062,-87.699155343,,6.0,41.944226601,-87.655998182,3,0.1,720.0
156,899.0,8.0,41.892072635,-87.628874157,,32.0,41.880994471,-87.632746489,3,1.5,480.0
157,,7.0,41.922686284,-87.649488729,,28.0,41.874005383,-87.66351755,0,2.0,540.0
158,930.0,32.0,41.87101588,-87.631406525,,6.0,41.952822916,-87.653243992,4,0.5,1320.0
159,,1.0,42.009622881,-87.670166857,,24.0,41.901206994,-87.676355989,0,9.8,1380.0
160,982.0,7.0,41.914616286,-87.631717366,,8.0,41.892042136,-87.63186395,1,1.74,480.0
161,,41.0,41.794090253,-87.592310855,,32.0,41.878865584,-87.625192142,4,0.0,1140.0
162,215.0,6.0,41.949829346,-87.64396537,,8.0,41.892507781,-87.626214906,2,4.7,780.0
163,807.0,28.0,41.879255084,-87.642648998,,8.0,41.890922026,-87.618868355,9,1.9,420.0
164,,8.0,41.899602111,-87.633308037,,6.0,41.944226601,-87.655998182,0,0.0,1260.0
165,607.0,8.0,41.900265687,-87.63210922,,8.0,41.892042136,-87.63186395,3,0.0,360.0
166,334.0,8.0,41.899155613,-87.626210532,,7.0,41.914616286,-87.631717366,5,1.6,540.0
167,,28.0,41.874005383,-87.66351755,,7.0,41.922686284,-87.649488729,3,0.0,840.0
168,,7.0,41.922686284,-87.649488729,,6.0,41.944226601,-87.655998182,2,0.0,360.0
169,534.0,8.0,41.90749193,-87.63576009,,8.0,41.899155613,-87.626210532,0,0.8,360.0
170,792.0,8.0,41.89321636,-87.63784421,,8.0,41.892072635,-87.628874157,7,0.0,480.0
171,959.0,8.0,41.89503345,-87.619710672,,8.0,41.898331794,-87.620762865,2,1.1,360.0
172,792.0,8.0,41.89321636,-87.63784421,,32.0,41.884987192,-87.620992913,0,0.0,420.0
173,1046.0,33.0,41.859349715,-87.617358006,,8.0,41.899155613,-87.626210532,4,0.0,780.0
174,16.0,32.0,41.880994471,-87.632746489,,7.0,41.914747305,-87.654007029,5,3.0,780.0
175,911.0,8.0,41.890922026,-87.618868355,,32.0,41.880994471,-87.632746489,3,0.0,420.0
176,,31.0,41.850266366,-87.667569312,,24.0,41.901206994,-87.676355989,1,3.3,660.0
177,926.0,24.0,41.899737388,-87.664953917,,24.0,41.906025969,-87.675311622,5,0.9,360.0
178,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,5.61,900.0
179,792.0,8.0,41.89321636,-87.63784421,,8.0,41.900221297,-87.629105186,3,1.2,360.0
180,787.0,8.0,41.898331794,-87.620762865,,32.0,41.877406123,-87.621971652,1,1.9,480.0
181,607.0,8.0,41.900265687,-87.63210922,,28.0,41.88528132,-87.6572332,5,0.1,900.0
182,512.0,7.0,41.914747305,-87.654007029,,8.0,41.892072635,-87.628874157,1,0.1,660.0
183,,1.0,42.009622881,-87.670166857,,32.0,41.878865584,-87.625192142,2,10.5,1440.0
184,504.0,32.0,41.884987192,-87.620992913,,8.0,41.898331794,-87.620762865,1,1.2,420.0
185,,16.0,41.953582125,-87.72345239,,24.0,41.901206994,-87.676355989,3,7.03,805.0
186,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,4,5.1,1080.0
187,534.0,8.0,41.90749193,-87.63576009,,32.0,41.884987192,-87.620992913,1,2.0,480.0
188,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,4.1,540.0
189,,5.0,41.947791586,-87.683834942,,6.0,41.944226601,-87.655998182,2,1.0,360.0
190,,39.0,41.808916283,-87.596183344,,32.0,41.878865584,-87.625192142,2,6.0,720.0
191,178.0,6.0,41.936237179,-87.656411531,,8.0,41.90749193,-87.63576009,5,3.12,660.0
192,,7.0,41.922686284,-87.649488729,,6.0,41.944226601,-87.655998182,3,1.7,480.0
193,,1.0,42.009622881,-87.670166857,,77.0,41.9867118,-87.663416405,4,0.0,420.0
194,,4.0,41.975170943,-87.687515515,,8.0,41.899602111,-87.633308037,4,8.6,1260.0
195,,6.0,41.944226601,-87.655998182,,22.0,41.92276062,-87.699155343,0,4.4,1080.0
196,,24.0,41.901206994,-87.676355989,,7.0,41.922686284,-87.649488729,0,2.4,540.0
197,,24.0,41.901206994,-87.676355989,,7.0,41.922686284,-87.649488729,5,0.0,1140.0
198,807.0,28.0,41.879255084,-87.642648998,,8.0,41.891971508,-87.612945414,0,2.3,480.0
199,522.0,7.0,41.929046937,-87.651310877,,32.0,41.880994471,-87.632746489,8,0.3,1020.0
200,871.0,7.0,41.928967266,-87.656156831,,7.0,41.914616286,-87.631717366,0,3.2,540.0
201,970.0,8.0,41.892507781,-87.626214906,,32.0,41.880994471,-87.632746489,2,0.0,360.0
202,,24.0,41.901206994,-87.676355989,,32.0,41.878865584,-87.625192142,1,0.2,600.0
203,334.0,8.0,41.899155613,-87.626210532,,6.0,41.943237122,-87.643470956,0,3.8,540.0
204,982.0,7.0,41.914616286,-87.631717366,,32.0,41.880994471,-87.632746489,2,2.2,540.0
205,,8.0,41.899602111,-87.633308037,,28.0,41.874005383,-87.66351755,4,3.34,1140.0
206,,28.0,41.874005383,-87.66351755,,32.0,41.878865584,-87.625192142,1,0.0,540.0
207,225.0,8.0,41.892042136,-87.63186395,,32.0,41.884987192,-87.620992913,1,0.0,480.0
208,,24.0,41.901206994,-87.676355989,,23.0,41.900069603,-87.720918238,1,1.9,360.0
209,854.0,33.0,41.861280847,-87.630580061,,8.0,41.899155613,-87.626210532,1,0.0,900.0
210,134.0,24.0,41.89830587,-87.653613982,,6.0,41.942691844,-87.651770507,4,3.7,900.0
211,,4.0,41.975170943,-87.687515515,,32.0,41.878865584,-87.625192142,0,0.4,1260.0
212,16.0,32.0,41.880994471,-87.632746489,,8.0,41.90749193,-87.63576009,2,2.3,720.0
213,791.0,24.0,41.908378669,-87.670945075,,6.0,41.942691844,-87.651770507,1,3.4,840.0
214,1046.0,33.0,41.859349715,-87.617358006,,32.0,41.877406123,-87.621971652,1,0.0,600.0
215,,41.0,41.794090253,-87.592310855,,32.0,41.878865584,-87.625192142,2,0.5,1200.0
216,534.0,8.0,41.90749193,-87.63576009,,8.0,41.89321636,-87.63784421,1,0.1,600.0
217,342.0,7.0,41.921778188,-87.651061884,,6.0,41.946294536,-87.654298084,1,0.1,600.0
218,,23.0,41.900069603,-87.720918238,,28.0,41.874005383,-87.66351755,1,0.0,660.0
219,952.0,7.0,41.921854911,-87.646210977,,8.0,41.892507781,-87.626214906,1,0.0,660.0
220,680.0,6.0,41.946294536,-87.654298084,,8.0,41.898331794,-87.620762865,3,4.7,780.0
221,982.0,7.0,41.914616286,-87.631717366,,8.0,41.89503345,-87.619710672,3,2.0,480.0
222,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,0.0,960.0
223,787.0,8.0,41.898331794,-87.620762865,,8.0,41.892042136,-87.63186395,0,1.2,840.0
224,886.0,6.0,41.942577185,-87.647078509,,6.0,41.936159071,-87.661265218,2,1.2,480.0
225,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,0,3.9,1380.0
226,178.0,6.0,41.936237179,-87.656411531,,8.0,41.890922026,-87.618868355,2,5.3,960.0
227,,77.0,41.9867118,-87.663416405,,8.0,41.899602111,-87.633308037,3,6.3,660.0
228,1077.0,7.0,41.922082541,-87.634156093,,6.0,41.934659157,-87.646729729,8,2.6,1200.0
229,16.0,32.0,41.880994471,-87.632746489,,7.0,41.914616286,-87.631717366,1,0.1,720.0
230,,8.0,41.899602111,-87.633308037,,28.0,41.874005383,-87.66351755,6,3.2,900.0
231,,14.0,41.968069,-87.721559063,,24.0,41.901206994,-87.676355989,0,4.48,822.0
232,,17.0,41.94651142,-87.806020002,,11.0,41.978829526,-87.771166703,1,2.4,540.0
233,930.0,32.0,41.87101588,-87.631406525,,8.0,41.892042136,-87.63186395,1,0.1,660.0
234,,2.0,42.001571027,-87.695012589,,8.0,41.899602111,-87.633308037,2,8.1,1140.0
235,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,1,5.6,1080.0
236,676.0,28.0,41.879066994,-87.657005027,,32.0,41.880994471,-87.632746489,3,2.4,540.0
237,,3.0,41.96581197,-87.655878786,,8.0,41.899602111,-87.633308037,3,5.29,660.0
238,680.0,6.0,41.946294536,-87.654298084,,7.0,41.929046937,-87.651310877,1,1.2,360.0
239,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,1,1.7,420.0
240,,24.0,41.901206994,-87.676355989,,6.0,41.944226601,-87.655998182,1,4.4,1320.0
241,,41.0,41.794090253,-87.592310855,,32.0,41.878865584,-87.625192142,0,7.5,840.0
242,805.0,8.0,41.902788048,-87.62614559,,8.0,41.89503345,-87.619710672,0,0.0,480.0
243,792.0,8.0,41.89321636,-87.63784421,,7.0,41.921778188,-87.651061884,2,2.3,660.0
244,396.0,6.0,41.94258518,-87.656644092,,8.0,41.892042136,-87.63186395,0,5.5,1080.0
245,670.0,6.0,41.934659157,-87.646729729,,6.0,41.945282331,-87.661545096,4,1.4,420.0
246,504.0,32.0,41.884987192,-87.620992913,,8.0,41.902788048,-87.62614559,1,1.3,420.0
247,676.0,28.0,41.879066994,-87.657005027,,8.0,41.892507781,-87.626214906,5,0.1,720.0
248,899.0,8.0,41.892072635,-87.628874157,,32.0,41.884987192,-87.620992913,7,1.3,420.0
249,,22.0,41.92276062,-87.699155343,,6.0,41.944226601,-87.655998182,1,1.8,540.0
250,440.0,24.0,41.89967018,-87.669837798,,8.0,41.892072635,-87.628874157,9,2.8,660.0
251,1007.0,7.0,41.93057857,-87.642206313,,8.0,41.90749193,-87.63576009,1,1.6,420.0
252,,7.0,41.922686284,-87.649488729,,32.0,41.878865584,-87.625192142,0,0.2,1560.0
253,334.0,8.0,41.899155613,-87.626210532,,8.0,41.892042136,-87.63186395,1,0.0,420.0
254,,61.0,41.80901825,-87.659166599,,32.0,41.878865584,-87.625192142,3,6.0,780.0
255,,7.0,41.922686284,-87.649488729,,33.0,41.857183858,-87.620334624,1,0.4,840.0
256,,16.0,41.953582125,-87.72345239,,8.0,41.899602111,-87.633308037,0,6.8,1140.0
257,16.0,32.0,41.880994471,-87.632746489,,8.0,41.892507781,-87.626214906,2,1.4,540.0
258,398.0,24.0,41.892658108,-87.652534484,,8.0,41.899155613,-87.626210532,1,1.7,420.0
259,,1.0,42.009622881,-87.670166857,,6.0,41.944226601,-87.655998182,1,6.5,1320.0
260,140.0,8.0,41.900221297,-87.629105186,,8.0,41.892507781,-87.626214906,3,0.0,420.0
261,970.0,8.0,41.892507781,-87.626214906,,32.0,41.880994471,-87.632746489,4,1.2,540.0
262,,5.0,41.947791586,-87.683834942,,7.0,41.922686284,-87.649488729,1,3.7,1020.0
263,179.0,32.0,41.870607372,-87.622172937,,32.0,41.880994471,-87.632746489,1,0.0,480.0
264,811.0,3.0,41.963633169,-87.652365359,,8.0,41.900265687,-87.63210922,1,0.3,780.0
265,238.0,6.0,41.9416281,-87.661443368,,32.0,41.880994471,-87.632746489,0,6.6,1320.0
266,749.0,28.0,41.88528132,-87.6572332,,8.0,41.905857769,-87.630865027,0,0.1,600.0
267,792.0,8.0,41.89321636,-87.63784421,,8.0,41.892042136,-87.63186395,2,0.6,360.0
268,307.0,32.0,41.877406123,-87.621971652,,28.0,41.885300022,-87.642808466,2,1.7,540.0
269,986.0,3.0,41.958154876,-87.653021789,,8.0,41.892072635,-87.628874157,1,7.0,1440.0
270,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,2,2.2,480.0
271,504.0,32.0,41.884987192,-87.620992913,,8.0,41.892507781,-87.626214906,8,1.5,540.0
272,307.0,32.0,41.877406123,-87.621971652,,56.0,41.785998518,-87.750934289,3,10.9,1380.0
273,,5.0,41.947791586,-87.683834942,,8.0,41.899602111,-87.633308037,1,5.9,900.0
274,1046.0,33.0,41.859349715,-87.617358006,,8.0,41.892507781,-87.626214906,0,2.2,780.0
