,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
63,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,9,3.0,480.0
64,,15.0,41.954027649,-87.763399032,,4.0,41.975170943,-87.687515515,0,5.4,1380.0
65,,15.0,41.954027649,-87.763399032,,8.0,41.899602111,-87.633308037,8,7.2,1020.0
66,26.0,3.0,41.972929317,-87.650290074,,8.0,41.892042136,-87.63186395,1,7.5,1140.0
67,,10.0,41.985015101,-87.804532006,,8.0,41.899602111,-87.633308037,3,12.9,1680.0
68,,5.0,41.947791586,-87.683834942,,16.0,41.953582125,-87.72345239,6,3.2,540.0
69,,7.0,41.922686284,-87.649488729,,6.0,41.944226601,-87.655998182,0,1.7,360.0
70,,77.0,41.9867118,-87.663416405,,8.0,41.899602111,-87.633308037,4,0.3,720.0
71,,6.0,41.944226601,-87.655998182,,3.0,41.96581197,-87.655878786,4,0.0,780.0
72,82.0,24.0,41.892493167,-87.664745836,,32.0,41.880994471,-87.632746489,23,2.5,540.0
73,,28.0,41.874005383,-87.66351755,,8.0,41.899602111,-87.633308037,23,4.9,900.0
74,215.0,6.0,41.949829346,-87.64396537,,7.0,41.926811182,-87.642605247,2,1.7,420.0
75,40.0,28.0,41.885300022,-87.642808466,,7.0,41.921854911,-87.646210977,0,2.7,660.0
76,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,5,0.2,960.0
77,,14.0,41.968069,-87.721559063,,22.0,41.92276062,-87.699155343,5,3.9,780.0
78,792.0,8.0,41.89321636,-87.63784421,,8.0,41.905857769,-87.630865027,17,0.0,420.0
79,,77.0,41.9867118,-87.663416405,,3.0,41.96581197,-87.655878786,2,11.7,2160.0
80,,24.0,41.901206994,-87.676355989,,7.0,41.922686284,-87.649488729,3,2.7,600.0
81,82.0,24.0,41.892493167,-87.664745836,,8.0,41.900221297,-87.629105186,20,4.7,1020.0
82,787.0,8.0,41.898331794,-87.620762865,,8.0,41.892042136,-87.63186395,1,1.0,420.0
83,215.0,6.0,41.949829346,-87.64396537,,8.0,41.90749193,-87.63576009,5,0.2,480.0
84,380.0,8.0,41.904935302,-87.649907226,,8.0,41.892042136,-87.63186395,7,0.0,600.0
85,,6.0,41.944226601,-87.655998182,,24.0,41.901206994,-87.676355989,6,0.3,1080.0
86,,77.0,41.9867118,-87.663416405,,8.0,41.899602111,-87.633308037,7,7.3,960.0
87,1046.0,33.0,41.859349715,-87.617358006,,8.0,41.892072635,-87.628874157,4,0.0,600.0
88,26.0,3.0,41.972929317,-87.650290074,,7.0,41.929046937,-87.651310877,10,3.8,720.0
89,,77.0,41.9867118,-87.663416405,,3.0,41.96581197,-87.655878786,7,0.1,420.0
90,,6.0,41.944226601,-87.655998182,,7.0,41.922686284,-87.649488729,4,2.0,360.0
91,,7.0,41.922686284,-87.649488729,,6.0,41.944226601,-87.655998182,10,1.6,420.0
92,970.0,8.0,41.892507781,-87.626214906,,8.0,41.905857769,-87.630865027,0,0.9,420.0
93,,8.0,41.899602111,-87.633308037,,7.0,41.922686284,-87.649488729,5,1.3,360.0
94,16.0,32.0,41.880994471,-87.632746489,,8.0,41.899155613,-87.626210532,1,1.0,360.0
95,13.0,8.0,41.907520075,-87.6266589,,8.0,41.904935302,-87.649907226,4,0.1,660.0
96,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,0,0.2,600.0
97,,6.0,41.944226601,-87.655998182,,24.0,41.901206994,-87.676355989,7,0.4,1560.0
98,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,11,4.3,1140.0
99,16.0,32.0,41.880994471,-87.632746489,,8.0,41.892072635,-87.628874157,6,0.0,360.0
100,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,2,3.3,1020.0
101,,4.0,41.975170943,-87.687515515,,6.0,41.944226601,-87.655998182,6,2.3,480.0
102,,6.0,41.944226601,-87.655998182,,7.0,41.922686284,-87.649488729,5,0.0,780.0
103,179.0,32.0,41.870607372,-87.622172937,,28.0,41.867902418,-87.642958665,6,1.3,540.0
104,,6.0,41.944226601,-87.655998182,,7.0,41.922686284,-87.649488729,7,0.0,420.0
105,,32.0,41.878865584,-87.625192142,,28.0,41.874005383,-87.66351755,1,3.1,660.0
106,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,1,0.0,660.0
107,225.0,8.0,41.892042136,-87.63186395,,7.0,41.921778188,-87.651061884,2,2.92,499.0
108,886.0,6.0,41.942577185,-87.647078509,,8.0,41.90749193,-87.63576009,12,0.1,840.0
109,,1.0,42.009622881,-87.670166857,,3.0,41.96581197,-87.655878786,3,4.0,900.0
110,,24.0,41.901206994,-87.676355989,,22.0,41.92276062,-87.699155343,2,2.1,420.0
111,,23.0,41.900069603,-87.720918238,,3.0,41.96581197,-87.655878786,9,0.4,1320.0
112,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,5,0.1,420.0
113,792.0,8.0,41.89321636,-87.63784421,,8.0,41.892072635,-87.628874157,23,0.8,360.0
114,,28.0,41.874005383,-87.66351755,,8.0,41.899602111,-87.633308037,4,1.7,480.0
115,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,3,4.5,900.0
116,313.0,76.0,41.97907082,-87.903039661,,32.0,41.884987192,-87.620992913,8,18.1,1380.0
117,,77.0,41.9867118,-87.663416405,,3.0,41.96581197,-87.655878786,3,0.0,480.0
118,,28.0,41.874005383,-87.66351755,,6.0,41.944226601,-87.655998182,10,8.5,1200.0
119,,31.0,41.850266366,-87.667569312,,5.0,41.947791586,-87.683834942,36,7.4,1080.0
120,,11.0,41.978829526,-87.771166703,,6.0,41.944226601,-87.655998182,4,6.8,1260.0
121,40.0,28.0,41.885300022,-87.642808466,,8.0,41.900265687,-87.63210922,15,1.6,480.0
122,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,4,4.7,1080.0
123,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,6,4.12,751.0
124,,31.0,41.850266366,-87.667569312,,32.0,41.878865584,-87.625192142,1,3.5,480.0
125,,28.0,41.874005383,-87.66351755,,24.0,41.901206994,-87.676355989,19,2.81,487.0
126,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,0,1.9,420.0
127,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,6,3.1,600.0
128,,77.0,41.9867118,-87.663416405,,1.0,42.009622881,-87.670166857,16,1.8,360.0
129,910.0,24.0,41.906650766,-87.66533766,,8.0,41.900221297,-87.629105186,9,1.8,540.0
130,,77.0,41.9867118,-87.663416405,,6.0,41.944226601,-87.655998182,5,0.0,1200.0
131,694.0,7.0,41.929077655,-87.646293476,,8.0,41.89321636,-87.63784421,3,0.1,720.0
132,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,0.0,720.0
133,1061.0,3.0,41.958055933,-87.660389456,,6.0,41.942691844,-87.651770507,1,1.7,480.0
134,,22.0,41.92276062,-87.699155343,,24.0,41.901206994,-87.676355989,8,0.1,780.0
135,,1.0,42.009622881,-87.670166857,,7.0,41.922686284,-87.649488729,1,8.2,1140.0
136,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,8,3.4,480.0
137,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,14,2.0,420.0
138,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,4,5.0,780.0
139,,2.0,42.001571027,-87.695012589,,16.0,41.953582125,-87.72345239,4,0.0,660.0
140,16.0,32.0,41.880994471,-87.632746489,,8.0,41.899155613,-87.626210532,2,1.3,360.0
141,,5.0,41.947791586,-87.683834942,,6.0,41.944226601,-87.655998182,2,2.1,660.0
142,,20.0,41.924347077,-87.734739754,,28.0,41.874005383,-87.66351755,4,7.8,1320.0
143,,5.0,41.947791586,-87.683834942,,8.0,41.899602111,-87.633308037,4,4.5,900.0
144,,35.0,41.835117986,-87.618677767,,32.0,41.878865584,-87.625192142,12,3.9,360.0
145,355.0,6.0,41.941488234,-87.671107656,,6.0,41.942691844,-87.651770507,6,0.0,420.0
146,,5.0,41.947791586,-87.683834942,,6.0,41.944226601,-87.655998182,1,1.8,420.0
147,,22.0,41.92276062,-87.699155343,,7.0,41.922686284,-87.649488729,5,0.2,840.0
148,398.0,24.0,41.892658108,-87.652534484,,32.0,41.884987192,-87.620992913,7,2.0,480.0
149,,24.0,41.901206994,-87.676355989,,28.0,41.874005383,-87.66351755,14,2.0,480.0
150,792.0,8.0,41.89321636,-87.63784421,,8.0,41.90749193,-87.63576009,7,4.0,480.0
